"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Fare_log"
"40","1","3","female",14,"1","0",11.2417,"C",-2.41963007858069
"41","0","3","female",40,"1","0",9.475,"S",-2.24865675096849
"42","0","2","female",27,"1","0",21,"S",-3.04452243772342
"43","0","3","male",29.881137667304,"0","0",7.8958,"C",-2.06633097252974
"44","1","2","female",3,"1","2",41.5792,"C",-3.72760004222554
"45","1","3","female",19,"0","0",7.8792,"Q",-2.06422637587336
"46","0","3","male",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"47","0","3","male",29.881137667304,"1","0",15.5,"Q",-2.7408400239252
"48","1","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"49","0","3","male",29.881137667304,"2","0",21.6792,"C",-3.07635327552161
"50","0","3","female",18,"1","0",17.8,"S",-2.87919845729804
"51","0","3","male",7,"4","1",39.6875,"S",-3.68103627665291
"52","0","3","male",21,"0","0",7.8,"S",-2.05412373369555
"53","1","1","female",49,"1","0",76.7292,"C",-4.34028233996554
"54","1","2","female",29,"1","0",26,"S",-3.25809653802148
"55","0","1","male",65,"0","1",61.9792,"C",-4.12679884488682
"56","1","1","male",29.881137667304,"0","0",35.5,"S",-3.56953269648137
"57","1","2","female",21,"0","0",10.5,"S",-2.35137525716348
"58","0","3","male",28.5,"0","0",7.2292,"C",-1.97812837997935
"59","1","2","female",5,"1","2",27.75,"S",-3.32323584019244
"60","0","3","male",11,"5","2",46.9,"S",-3.84801767545223
"61","0","3","male",22,"0","0",7.2292,"C",-1.97812837997935
"62","1","1","female",38,"0","0",80,"Desconegut",-4.38202663467388
"63","0","1","male",45,"1","0",83.475,"S",-4.42454718582972
"64","0","3","male",4,"3","2",27.9,"S",-3.32862668882732
"65","0","1","male",29.881137667304,"0","0",27.7208,"C",-3.32218303393412
"66","1","3","male",29.881137667304,"1","1",15.2458,"C",-2.7243040552851
"67","1","2","female",29,"0","0",10.5,"S",-2.35137525716348
"68","0","3","male",19,"0","0",8.1583,"S",-2.09903581393828
"69","1","3","female",17,"4","2",7.925,"S",-2.07002231976334
"70","0","3","male",26,"2","0",8.6625,"S",-2.15900336451602
"71","0","2","male",32,"0","0",10.5,"S",-2.35137525716348
"72","0","3","female",16,"5","2",46.9,"S",-3.84801767545223
"73","0","2","male",21,"0","0",73.5,"S",-4.29728540621879
"74","0","3","male",26,"1","0",14.4542,"C",-2.6709850297652
"75","1","3","male",32,"0","0",56.4958,"S",-4.03416629910613
"76","0","3","male",25,"0","0",7.65,"S",-2.03470564783844
"77","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"78","0","3","male",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"79","1","2","male",0.83,"0","2",29,"S",-3.36729582998647
"80","1","3","female",30,"0","0",12.475,"S",-2.52372664163758
"81","0","3","male",22,"0","0",9,"S",-2.19722457733622
"82","1","3","male",29,"0","0",9.5,"S",-2.2512917986065
"83","1","3","female",29.881137667304,"0","0",7.7875,"Q",-2.05251988411357
"84","0","1","male",28,"0","0",47.1,"S",-3.85227300102237
"85","1","2","female",17,"0","0",10.5,"S",-2.35137525716348
"86","1","3","female",33,"3","0",15.85,"S",-2.76316950032329
"87","0","3","male",16,"1","3",34.375,"S",-3.53732955598674
"88","0","3","male",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"89","1","1","female",23,"3","2",263,"S",-5.57215403217776
"90","0","3","male",24,"0","0",8.05,"S",-2.08567209143047
"91","0","3","male",29,"0","0",8.05,"S",-2.08567209143047
"92","0","3","male",20,"0","0",7.8542,"S",-2.06104842056294
"93","0","1","male",46,"1","0",61.175,"S",-4.11373860932874
"94","0","3","male",26,"1","2",20.575,"S",-3.02407674656313
"95","0","3","male",59,"0","0",7.25,"S",-1.98100146886658
"96","0","3","male",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"97","0","1","male",71,"0","0",34.6542,"C",-3.54541893041153
"98","1","1","male",23,"0","1",63.3583,"C",-4.14880591633814
"99","1","2","female",34,"0","1",23,"S",-3.13549421592915
"100","0","2","male",34,"1","0",26,"S",-3.25809653802148
"101","0","3","female",28,"0","0",7.8958,"S",-2.06633097252974
"102","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"103","0","1","male",21,"0","1",77.2875,"S",-4.34753223488469
"104","0","3","male",33,"0","0",8.6542,"S",-2.1580447522359
"105","0","3","male",37,"2","0",7.925,"S",-2.07002231976334
"106","0","3","male",28,"0","0",7.8958,"S",-2.06633097252974
"107","1","3","female",21,"0","0",7.65,"S",-2.03470564783844
"108","1","3","male",29.881137667304,"0","0",7.775,"S",-2.0509134580653
"109","0","3","male",38,"0","0",7.8958,"S",-2.06633097252974
"110","1","3","female",29.881137667304,"1","0",24.15,"Q",-3.18428438009858
"111","0","1","male",47,"0","0",52,"S",-3.95124371858143
"112","0","3","female",14.5,"1","0",14.4542,"C",-2.6709850297652
"113","0","3","male",22,"0","0",8.05,"S",-2.08567209143047
"114","0","3","female",20,"1","0",9.825,"S",-2.28493015775532
"115","0","3","female",17,"0","0",14.4583,"C",-2.67126864412075
"116","0","3","male",21,"0","0",7.925,"S",-2.07002231976334
"117","0","3","male",70.5,"0","0",7.75,"Q",-2.04769284336526
"118","0","2","male",29,"1","0",21,"S",-3.04452243772342
"119","0","1","male",24,"0","1",247.5208,"C",-5.51149461888159
"120","0","3","female",2,"4","2",31.275,"S",-3.44281905635297
"121","0","2","male",21,"2","0",73.5,"S",-4.29728540621879
"122","0","3","male",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"123","0","2","male",32.5,"1","0",30.0708,"C",-3.40355460123583
"124","1","2","female",32.5,"0","0",13,"S",-2.56494935746154
"125","0","1","male",54,"0","1",77.2875,"S",-4.34753223488469
"126","1","3","male",12,"1","0",11.2417,"C",-2.41963007858069
"127","0","3","male",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"128","1","3","male",24,"0","0",7.1417,"S",-1.96595084324942
"129","1","3","female",29.881137667304,"1","1",22.3583,"C",-3.10719761677404
"130","0","3","male",45,"0","0",6.975,"S",-1.94233232770743
"131","0","3","male",33,"0","0",7.8958,"C",-2.06633097252974
"132","0","3","male",20,"0","0",7.05,"S",-1.95302761682418
"133","0","3","female",47,"1","0",14.5,"S",-2.67414864942653
"134","1","2","female",29,"1","0",26,"S",-3.25809653802148
"135","0","2","male",25,"0","0",13,"S",-2.56494935746154
"136","0","2","male",23,"0","0",15.0458,"C",-2.71109888248023
"137","1","1","female",19,"0","2",26.2833,"S",-3.26893375650932
"138","0","1","male",37,"1","0",53.1,"S",-3.97217692824789
"139","0","3","male",16,"0","0",9.2167,"S",-2.22101705593022
"140","0","1","male",24,"0","0",79.2,"C",-4.37197629882038
"141","0","3","female",29.881137667304,"0","2",15.2458,"C",-2.7243040552851
"142","1","3","female",22,"0","0",7.75,"S",-2.04769284336526
"143","1","3","female",24,"1","0",15.85,"S",-2.76316950032329
"144","0","3","male",19,"0","0",6.75,"Q",-1.90954250488444
"145","0","2","male",18,"0","0",11.5,"S",-2.4423470353692
"146","0","2","male",19,"1","1",36.75,"S",-3.60413822565885
"147","1","3","male",27,"0","0",7.7958,"S",-2.05358512713461
"148","0","3","female",9,"2","2",34.375,"S",-3.53732955598674
"149","0","2","male",36.5,"0","2",26,"S",-3.25809653802148
"150","0","2","male",42,"0","0",13,"S",-2.56494935746154
"151","0","2","male",51,"0","0",12.525,"S",-2.52772664697093
"152","1","1","female",22,"1","0",66.6,"S",-4.19870457754634
"153","0","3","male",55.5,"0","0",8.05,"S",-2.08567209143047
"154","0","3","male",40.5,"0","2",14.5,"S",-2.67414864942653
"155","0","3","male",29.881137667304,"0","0",7.3125,"S",-1.98958521255797
"156","0","1","male",51,"0","1",61.3792,"C",-4.11707101554523
"157","1","3","female",16,"0","0",7.7333,"Q",-2.04553567965004
"158","0","3","male",30,"0","0",8.05,"S",-2.08567209143047
"159","0","3","male",29.881137667304,"0","0",8.6625,"S",-2.15900336451602
"160","0","3","male",29.881137667304,"8","2",69.55,"S",-4.24204591836945
"161","0","3","male",44,"0","1",16.1,"S",-2.77881927199042
"162","1","2","female",40,"0","0",15.75,"S",-2.75684036527164
"163","0","3","male",26,"0","0",7.775,"S",-2.0509134580653
"164","0","3","male",17,"0","0",8.6625,"S",-2.15900336451602
"165","0","3","male",1,"4","1",39.6875,"S",-3.68103627665291
"166","1","3","male",9,"0","2",20.525,"S",-3.02164365533849
"167","1","1","female",29.881137667304,"0","1",55,"S",-4.00733318523247
"168","0","3","female",45,"1","4",27.9,"S",-3.32862668882732
"169","0","1","male",29.881137667304,"0","0",25.925,"S",-3.25520775411559
"170","0","3","male",28,"0","0",56.4958,"S",-4.03416629910613
"171","0","1","male",61,"0","0",33.5,"S",-3.51154543883102
"172","0","3","male",4,"4","1",29.125,"Q",-3.37159691188586
"173","1","3","female",1,"1","1",11.1333,"S",-2.40994061729809
"174","0","3","male",21,"0","0",7.925,"S",-2.07002231976334
"175","0","1","male",56,"0","0",30.6958,"C",-3.42412583741652
"176","0","3","male",18,"1","1",7.8542,"S",-2.06104842056294
"177","0","3","male",29.881137667304,"3","1",25.4667,"S",-3.23737171640403
"178","0","1","female",50,"0","0",28.7125,"C",-3.35733256801522
"179","0","2","male",30,"0","0",13,"S",-2.56494935746154
"180","0","3","male",36,"0","0",0,"S",Inf
"181","0","3","female",29.881137667304,"8","2",69.55,"S",-4.24204591836945
"182","0","2","male",29.881137667304,"0","0",15.05,"C",-2.71137799119488
"183","0","3","male",9,"4","2",31.3875,"S",-3.4464097244837
"184","1","2","male",1,"2","1",39,"S",-3.66356164612965
"185","1","3","female",4,"0","2",22.025,"S",-3.09217817182224
"186","0","1","male",29.881137667304,"0","0",50,"S",-3.91202300542815
"187","1","3","female",29.881137667304,"1","0",15.5,"Q",-2.7408400239252
"188","1","1","male",45,"0","0",26.55,"S",-3.27902974768795
"189","0","3","male",40,"1","1",15.5,"Q",-2.7408400239252
"190","0","3","male",36,"0","0",7.8958,"S",-2.06633097252974
"191","1","2","female",32,"0","0",13,"S",-2.56494935746154
"192","0","2","male",19,"0","0",13,"S",-2.56494935746154
"193","1","3","female",19,"1","0",7.8542,"S",-2.06104842056294
"194","1","2","male",3,"1","1",26,"S",-3.25809653802148
"195","1","1","female",44,"0","0",27.7208,"C",-3.32218303393412
"196","1","1","female",58,"0","0",146.5208,"C",-4.98716739790117
"197","0","3","male",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"198","0","3","male",42,"0","1",8.4042,"S",-2.12873158089092
"199","1","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"200","0","2","female",24,"0","0",13,"S",-2.56494935746154
"201","0","3","male",28,"0","0",9.5,"S",-2.2512917986065
"202","0","3","male",29.881137667304,"8","2",69.55,"S",-4.24204591836945
"203","0","3","male",34,"0","0",6.4958,"S",-1.87115581420807
"204","0","3","male",45.5,"0","0",7.225,"C",-1.9775472339985
"205","1","3","male",18,"0","0",8.05,"S",-2.08567209143047
"206","0","3","female",2,"0","1",10.4625,"S",-2.34779743581559
"207","0","3","male",32,"1","0",15.85,"S",-2.76316950032329
"208","1","3","male",26,"0","0",18.7875,"C",-2.93319175507909
"209","1","3","female",16,"0","0",7.75,"Q",-2.04769284336526
"210","1","1","male",40,"0","0",31,"C",-3.43398720448515
"211","0","3","male",24,"0","0",7.05,"S",-1.95302761682418
"212","1","2","female",35,"0","0",21,"S",-3.04452243772342
"213","0","3","male",22,"0","0",7.25,"S",-1.98100146886658
"214","0","2","male",30,"0","0",13,"S",-2.56494935746154
"215","0","3","male",29.881137667304,"1","0",7.75,"Q",-2.04769284336526
"216","1","1","female",31,"1","0",113.275,"C",-4.7298184905532
"217","1","3","female",27,"0","0",7.925,"S",-2.07002231976334
"218","0","2","male",42,"1","0",27,"S",-3.29583686600433
"219","1","1","female",32,"0","0",76.2917,"C",-4.33456415124619
"220","0","2","male",30,"0","0",10.5,"S",-2.35137525716348
"221","1","3","male",16,"0","0",8.05,"S",-2.08567209143047
"222","0","2","male",27,"0","0",13,"S",-2.56494935746154
"223","0","3","male",51,"0","0",8.05,"S",-2.08567209143047
"224","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"225","1","1","male",38,"1","0",90,"S",-4.49980967033027
"226","0","3","male",22,"0","0",9.35,"S",-2.2353763433006
"227","1","2","male",19,"0","0",10.5,"S",-2.35137525716348
"228","0","3","male",20.5,"0","0",7.25,"S",-1.98100146886658
"229","0","2","male",18,"0","0",13,"S",-2.56494935746154
"230","0","3","female",29.881137667304,"3","1",25.4667,"S",-3.23737171640403
"231","1","1","female",35,"1","0",83.475,"S",-4.42454718582972
"232","0","3","male",29,"0","0",7.775,"S",-2.0509134580653
"233","0","2","male",59,"0","0",13.5,"S",-2.60268968544438
"234","1","3","female",5,"4","2",31.3875,"S",-3.4464097244837
"235","0","2","male",24,"0","0",10.5,"S",-2.35137525716348
"236","0","3","female",29.881137667304,"0","0",7.55,"S",-2.02154756326093
"237","0","2","male",44,"1","0",26,"S",-3.25809653802148
"238","1","2","female",8,"0","2",26.25,"S",-3.26766598903763
"239","0","2","male",19,"0","0",10.5,"S",-2.35137525716348
"240","0","2","male",33,"0","0",12.275,"S",-2.50756467368058
"241","0","3","female",29.881137667304,"1","0",14.4542,"C",-2.6709850297652
"242","1","3","female",29.881137667304,"1","0",15.5,"Q",-2.7408400239252
"243","0","2","male",29,"0","0",10.5,"S",-2.35137525716348
"244","0","3","male",22,"0","0",7.125,"S",-1.96360972615471
"245","0","3","male",30,"0","0",7.225,"C",-1.9775472339985
"246","0","1","male",44,"2","0",90,"Q",-4.49980967033027
"247","0","3","female",25,"0","0",7.775,"S",-2.0509134580653
"248","1","2","female",24,"0","2",14.5,"S",-2.67414864942653
"249","1","1","male",37,"1","1",52.5542,"S",-3.96184501801123
"250","0","2","male",54,"1","0",26,"S",-3.25809653802148
"251","0","3","male",29.881137667304,"0","0",7.25,"S",-1.98100146886658
"252","0","3","female",29,"1","1",10.4625,"S",-2.34779743581559
"253","0","1","male",62,"0","0",26.55,"S",-3.27902974768795
"254","0","3","male",30,"1","0",16.1,"S",-2.77881927199042
"255","0","3","female",41,"0","2",20.2125,"S",-3.00630122490323
"256","1","3","female",29,"0","2",15.2458,"C",-2.7243040552851
"257","1","1","female",29.881137667304,"0","0",79.2,"C",-4.37197629882038
"258","1","1","female",30,"0","0",86.5,"S",-4.46014441393783
"259","1","1","female",35,"0","0",512.3292,"C",-6.23896738717366
"260","1","2","female",50,"0","1",26,"S",-3.25809653802148
"261","0","3","male",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"262","1","3","male",3,"4","2",31.3875,"S",-3.4464097244837
"263","0","1","male",52,"1","1",79.65,"S",-4.37764203635606
"264","0","1","male",40,"0","0",0,"S",Inf
"265","0","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"266","0","2","male",36,"0","0",10.5,"S",-2.35137525716348
"267","0","3","male",16,"4","1",39.6875,"S",-3.68103627665291
"268","1","3","male",25,"1","0",7.775,"S",-2.0509134580653
"269","1","1","female",58,"0","1",153.4625,"S",-5.03345623750696
"270","1","1","female",35,"0","0",135.6333,"S",-4.90995492057888
"271","0","1","male",29.881137667304,"0","0",31,"S",-3.43398720448515
"272","1","3","male",25,"0","0",0,"S",Inf
"273","1","2","female",41,"0","1",19.5,"S",-2.9704144655697
"274","0","1","male",37,"0","1",29.7,"C",-3.39114704580865
"275","1","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"276","1","1","female",63,"1","0",77.9583,"S",-4.35617406834722
"277","0","3","female",45,"0","0",7.75,"S",-2.04769284336526
"278","0","2","male",29.881137667304,"0","0",0,"S",Inf
"279","0","3","male",7,"4","1",29.125,"Q",-3.37159691188586
"280","1","3","female",35,"1","1",20.25,"S",-3.00815479355255
"281","0","3","male",65,"0","0",7.75,"Q",-2.04769284336526
"282","0","3","male",28,"0","0",7.8542,"S",-2.06104842056294
"283","0","3","male",16,"0","0",9.5,"S",-2.2512917986065
"284","1","3","male",19,"0","0",8.05,"S",-2.08567209143047
"285","0","1","male",29.881137667304,"0","0",26,"S",-3.25809653802148
"286","0","3","male",33,"0","0",8.6625,"C",-2.15900336451602
"287","1","3","male",30,"0","0",9.5,"S",-2.2512917986065
"288","0","3","male",22,"0","0",7.8958,"S",-2.06633097252974
"289","1","2","male",42,"0","0",13,"S",-2.56494935746154
"290","1","3","female",22,"0","0",7.75,"Q",-2.04769284336526
"291","1","1","female",26,"0","0",78.85,"S",-4.36754731340905
"292","1","1","female",19,"1","0",91.0792,"C",-4.51172945766992
"293","0","2","male",36,"0","0",12.875,"C",-2.5552874465498
"294","0","3","female",24,"0","0",8.85,"S",-2.18041745901984
"295","0","3","male",24,"0","0",7.8958,"S",-2.06633097252974
"296","0","1","male",29.881137667304,"0","0",27.7208,"C",-3.32218303393412
"297","0","3","male",23.5,"0","0",7.2292,"C",-1.97812837997935
"298","0","1","female",2,"1","2",151.55,"S",-5.02091560350381
"299","1","1","male",29.881137667304,"0","0",30.5,"S",-3.41772668361337
"300","1","1","female",50,"0","1",247.5208,"C",-5.51149461888159
"301","1","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"302","1","3","male",29.881137667304,"2","0",23.25,"Q",-3.14630513203337
"303","0","3","male",19,"0","0",0,"S",Inf
"304","1","2","female",29.881137667304,"0","0",12.35,"Q",-2.51365606307399
"305","0","3","male",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"306","1","1","male",0.92,"1","2",151.55,"S",-5.02091560350381
"307","1","1","female",29.881137667304,"0","0",110.8833,"C",-4.70847829690348
"308","1","1","female",17,"1","0",108.9,"C",-4.69043002993891
"309","0","2","male",30,"1","0",24,"C",-3.17805383034795
"310","1","1","female",30,"0","0",56.9292,"C",-4.04180839051927
"311","1","1","female",24,"0","0",83.1583,"C",-4.42074602026042
"312","1","1","female",18,"2","2",262.375,"C",-5.5697747781408
"313","0","2","female",26,"1","1",26,"S",-3.25809653802148
"314","0","3","male",28,"0","0",7.8958,"S",-2.06633097252974
"315","0","2","male",43,"1","1",26.25,"S",-3.26766598903763
"316","1","3","female",26,"0","0",7.8542,"S",-2.06104842056294
"317","1","2","female",24,"1","0",26,"S",-3.25809653802148
"318","0","2","male",54,"0","0",14,"S",-2.63905732961526
"319","1","1","female",31,"0","2",164.8667,"S",-5.10513726860277
"320","1","1","female",40,"1","1",134.5,"C",-4.90156419904189
"321","0","3","male",22,"0","0",7.25,"S",-1.98100146886658
"322","0","3","male",27,"0","0",7.8958,"S",-2.06633097252974
"323","1","2","female",30,"0","0",12.35,"Q",-2.51365606307399
"324","1","2","female",22,"1","1",29,"S",-3.36729582998647
"325","0","3","male",29.881137667304,"8","2",69.55,"S",-4.24204591836945
"326","1","1","female",36,"0","0",135.6333,"C",-4.90995492057888
"327","0","3","male",61,"0","0",6.2375,"S",-1.83057946107764
"328","1","2","female",36,"0","0",13,"S",-2.56494935746154
"329","1","3","female",31,"1","1",20.525,"S",-3.02164365533849
"330","1","1","female",16,"0","1",57.9792,"C",-4.06008432553699
"331","1","3","female",29.881137667304,"2","0",23.25,"Q",-3.14630513203337
"332","0","1","male",45.5,"0","0",28.5,"S",-3.3499040872746
"333","0","1","male",38,"0","1",153.4625,"S",-5.03345623750696
"334","0","3","male",16,"2","0",18,"S",-2.89037175789616
"335","1","1","female",29.881137667304,"1","0",133.65,"S",-4.89522444258493
"336","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"337","0","1","male",29,"1","0",66.6,"S",-4.19870457754634
"338","1","1","female",41,"0","0",134.5,"C",-4.90156419904189
"339","1","3","male",45,"0","0",8.05,"S",-2.08567209143047
"340","0","1","male",45,"0","0",35.5,"S",-3.56953269648137
"341","1","2","male",2,"1","1",26,"S",-3.25809653802148
"342","1","1","female",24,"3","2",263,"S",-5.57215403217776
"343","0","2","male",28,"0","0",13,"S",-2.56494935746154
"344","0","2","male",25,"0","0",13,"S",-2.56494935746154
"345","0","2","male",36,"0","0",13,"S",-2.56494935746154
"346","1","2","female",24,"0","0",13,"S",-2.56494935746154
"347","1","2","female",40,"0","0",13,"S",-2.56494935746154
"348","1","3","female",29.881137667304,"1","0",16.1,"S",-2.77881927199042
"349","1","3","male",3,"1","1",15.9,"S",-2.76631910922619
"350","0","3","male",42,"0","0",8.6625,"S",-2.15900336451602
"351","0","3","male",23,"0","0",9.225,"S",-2.22191718992659
"352","0","1","male",29.881137667304,"0","0",35,"S",-3.55534806148941
"353","0","3","male",15,"1","1",7.2292,"C",-1.97812837997935
"354","0","3","male",25,"1","0",17.8,"S",-2.87919845729804
"355","0","3","male",29.881137667304,"0","0",7.225,"C",-1.9775472339985
"356","0","3","male",28,"0","0",9.5,"S",-2.2512917986065
"357","1","1","female",22,"0","1",55,"S",-4.00733318523247
"358","0","2","female",38,"0","0",13,"S",-2.56494935746154
"359","1","3","female",29.881137667304,"0","0",7.8792,"Q",-2.06422637587336
"360","1","3","female",29.881137667304,"0","0",7.8792,"Q",-2.06422637587336
"361","0","3","male",40,"1","4",27.9,"S",-3.32862668882732
"362","0","2","male",29,"1","0",27.7208,"C",-3.32218303393412
"363","0","3","female",45,"0","1",14.4542,"C",-2.6709850297652
"364","0","3","male",35,"0","0",7.05,"S",-1.95302761682418
"365","0","3","male",29.881137667304,"1","0",15.5,"Q",-2.7408400239252
"366","0","3","male",30,"0","0",7.25,"S",-1.98100146886658
"367","1","1","female",60,"1","0",75.25,"C",-4.32081590362899
"368","1","3","female",29.881137667304,"0","0",7.2292,"C",-1.97812837997935
"369","1","3","female",29.881137667304,"0","0",7.75,"Q",-2.04769284336526
"370","1","1","female",24,"0","0",69.3,"C",-4.23844490619586
"371","1","1","male",25,"1","0",55.4417,"C",-4.01533201819219
"372","0","3","male",18,"1","0",6.4958,"S",-1.87115581420807
"373","0","3","male",19,"0","0",8.05,"S",-2.08567209143047
"374","0","1","male",22,"0","0",135.6333,"C",-4.90995492057888
"375","0","3","female",3,"3","1",21.075,"S",-3.04808750388792
"376","1","1","female",29.881137667304,"1","0",82.1708,"C",-4.40880000780905
"377","1","3","female",22,"0","0",7.25,"S",-1.98100146886658
"378","0","1","male",27,"0","2",211.5,"C",-5.35422499848633
"379","0","3","male",20,"0","0",4.0125,"C",-1.38941448845613
"380","0","3","male",19,"0","0",7.775,"S",-2.0509134580653
"381","1","1","female",42,"0","0",227.525,"C",-5.42726012246342
"382","1","3","female",1,"0","2",15.7417,"C",-2.75631324223972
"383","0","3","male",32,"0","0",7.925,"S",-2.07002231976334
"384","1","1","female",35,"1","0",52,"S",-3.95124371858143
"385","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"386","0","2","male",18,"0","0",73.5,"S",-4.29728540621879
"387","0","3","male",1,"5","2",46.9,"S",-3.84801767545223
"388","1","2","female",36,"0","0",13,"S",-2.56494935746154
"389","0","3","male",29.881137667304,"0","0",7.7292,"Q",-2.04500536435871
"390","1","2","female",17,"0","0",12,"C",-2.484906649788
"391","1","1","male",36,"1","2",120,"S",-4.78749174278205
"392","1","3","male",21,"0","0",7.7958,"S",-2.05358512713461
"393","0","3","male",28,"2","0",7.925,"S",-2.07002231976334
"394","1","1","female",23,"1","0",113.275,"C",-4.7298184905532
"395","1","3","female",24,"0","2",16.7,"S",-2.81540871942271
"396","0","3","male",22,"0","0",7.7958,"S",-2.05358512713461
"397","0","3","female",31,"0","0",7.8542,"S",-2.06104842056294
"398","0","2","male",46,"0","0",26,"S",-3.25809653802148
"399","0","2","male",23,"0","0",10.5,"S",-2.35137525716348
"400","1","2","female",28,"0","0",12.65,"S",-2.53765721517353
"401","1","3","male",39,"0","0",7.925,"S",-2.07002231976334
"402","0","3","male",26,"0","0",8.05,"S",-2.08567209143047
"403","0","3","female",21,"1","0",9.825,"S",-2.28493015775532
"404","0","3","male",28,"1","0",15.85,"S",-2.76316950032329
"405","0","3","female",20,"0","0",8.6625,"S",-2.15900336451602
"406","0","2","male",34,"1","0",21,"S",-3.04452243772342
"407","0","3","male",51,"0","0",7.75,"S",-2.04769284336526
"408","1","2","male",3,"1","1",18.75,"S",-2.93119375241642
"409","0","3","male",21,"0","0",7.775,"S",-2.0509134580653
"410","0","3","female",29.881137667304,"3","1",25.4667,"S",-3.23737171640403
"411","0","3","male",29.881137667304,"0","0",7.8958,"S",-2.06633097252974
"412","0","3","male",29.881137667304,"0","0",6.8583,"Q",-1.9254595976159
"413","1","1","female",33,"1","0",90,"Q",-4.49980967033027
"414","0","2","male",29.881137667304,"0","0",0,"S",Inf
"415","1","3","male",44,"0","0",7.925,"S",-2.07002231976334
"416","0","3","female",29.881137667304,"0","0",8.05,"S",-2.08567209143047
"417","1","2","female",34,"1","1",32.5,"S",-3.48124008933569
"418","1","2","female",18,"0","2",13,"S",-2.56494935746154
"419","0","2","male",30,"0","0",13,"S",-2.56494935746154
"420","0","3","female",10,"0","2",24.15,"S",-3.18428438009858
"421","0","3","male",29.881137667304,"0","0",7.8958,"C",-2.06633097252974
